time,open,high,low,close,SMA20,SMA50,SMA100,SMA2000,Regression Line,BUY,SELL,Bar Index,EMA 20,EMA 50,EMA 100,EMA 200,Basis,Upper,Lower,24H Volume,ADR,Bollinger Bands Width,EMA,%EX,hashColor,FEAR AND GREED,US Interest Rates,EU Interest Rates,UK Interest Rates,Histogram,MACD,Signal,RSI,RSI-based MA,STOCHASTIC OSCILLATOR,STOCHASTIC OSCILLATOR 2
1400976000,528.44,586.34,527.09,573.9,467.889,463.622,521.9674,636.25545,421.27136039604,0,0,981,484.372916849752,484.910437560123,518.873987531275,512.992440325219,467.889,547.256730949038,388.521269050963,NaN,19.8650000000005,0.339258802617876,7.58882313306209,4.33724157779875,74.3296115919865,6.27248093841642,0.25,0.25,0.5,13.7246023046623,20.045022696109,6.32042039144663,77.5925473361998,56.3831057231615,92.0118153213896,85.4252150362079
1401062400,573.5,593.48,565.58,581.88,475.5825,466.1342,521.2482,637.70985,426.268924752475,0,0,982,493.659305721204,488.713165498942,520.121631342537,513.677888680192,475.5825,566.923616891567,384.241383108433,NaN,20.9857142857147,0.384123120138218,9.31438406911627,14.4910668772788,76.7406318359962,9.60689345063538,0.25,0.25,0.5,15.0393350814448,25.1195892432526,10.0802541618078,78.5879429640278,58.7746112007704,92.8777552649352,89.669573174165
1401148800,581.87,595,550.22,572.7,482.2175,468.646,520.7851,638.90335,430.251667326733,0,0,983,501.186990890613,492.006766851925,521.162787157536,514.265173369941,482.2175,581.213690002438,383.221309997563,NaN,23.3171428571432,0.410587297235945,8.48158730657173,5.98319701893812,84.1028118193961,11.712981427175,0.25,0.25,0.5,14.397251412145,28.0768184269891,13.6795670148441,74.4885707264647,60.9452321420183,85.7635342185904,90.2177016016384
1401235200,572.7,582.26,563.45,580.66,489.366,471.1878,520.2551,640.10045,434.868592079208,0,0,984,508.755848901031,495.483364230281,522.34094978808,514.925818411037,489.366,594.900292701467,383.831707298534,NaN,23.8321428571433,0.431310277793988,11.3662845150421,20.0203761404531,85.1967555270037,6.46645161290322,0.25,0.25,0.5,13.6233527008147,30.7087578908624,17.0854051900478,75.673509637357,63.0142083960991,90.6616306329773,89.7676400388343
1401321600,580.66,582.1,560.05,572.37,495.366,473.8014,519.7018,641.3473,439.071126732673,0,0,985,514.814339481885,498.498526417329,523.331624049702,515.497402307444,495.366,605.355449203089,385.376550796912,NaN,24.7892857142862,0.44407346972981,13.0522021532063,18.109955067699,85.4941641655321,3.86693385467578,0.25,0.25,0.5,11.7393165105133,31.7595508281893,20.0202343176761,71.9265702437372,64.8155461220641,85.2630893461839,87.2294180659172
1401408000,572.37,629.4,568.56,621,503.6465,478.959,519.6633,642.73275,445.165841584159,0,0,986,524.92725953123,503.302505773512,525.265651296243,516.547179398912,503.6465,624.727367567914,382.565632432086,NaN,28.5700000000003,0.480816872818193,13.1978583181466,13.6348268129674,87.9569957048834,0.534817204301061,0.25,0.25,0.5,12.8639770932018,36.1002056841784,23.2362285909765,78.615613561372,67.0558553850863,95.5309640349011,90.4852280046874
1401494400,621,628.5,611,627.8,513.0365,483.055,520.3227,644.09695,450.271003960396,0,0,987,534.724663385398,508.18476044906,527.296034438891,517.654172638724,513.0365,641.801910770899,384.271089229102,NaN,29.3578571428576,0.501973683240464,14.2807602226447,17.529465936139,89.0149746953316,2.23180775496903,0.25,0.25,0.5,13.1166614754965,39.6320554353472,26.5153939598507,79.3563181222202,69.2945967644711,99.1487550542669,93.3142694784506
1401580800,627.8,683.26,618.53,630.99,522.461,487.2064,520.7904,645.2844,455.909899009901,0,0,988,543.892790682027,513.000652196156,529.349380291587,518.781892313961,522.461,656.672669671452,388.249330328548,NaN,33.4878571428575,0.513767227300993,14.611388476265,15.6032732371259,89.7113894444378,3.8947422613229,0.25,0.25,0.5,12.5492846443973,42.2019997653473,29.65271512095,79.7113503850632,71.623071703586,78.3847489868497,91.0214893586726
1401667200,630.99,678,613.03,661.22,533.566,492.1048,521.2776,646.50575,463.277851485149,0,0,989,555.066810617072,518.813175639444,531.960679691753,520.199186917802,533.566,674.920716001973,392.211283998028,NaN,37.5171428571433,0.529849038364408,14.756612911672,15.1922862178931,90.9709429982961,7.4693880742913,0.25,0.25,0.5,13.1946794344664,46.1460644140329,32.9513849795666,82.7406204278326,74.1178069510291,90.6657631712689,89.3997557374618
1401753600,662,680.99,649.61,670.14,544.773,496.3376,521.8591,647.79645,470.958162376237,0,0,990,566.026161986875,524.747560908485,534.696903856273,521.69113530668,544.773,691.999692430409,397.546307569592,NaN,35.9828571428576,0.540506568535549,15.2548261231231,16.7494657574763,91.3830331965778,12.6632583903552,0.25,0.25,0.5,13.1763555606383,49.4218294303645,36.2454738697262,83.5224100992237,75.5915780643249,93.3112413968901,87.4539178516696
