time,open,high,low,close,SMA20,SMA50,SMA100,SMA2000,Regression Line,BUY,SELL,Bar Index,EMA 20,EMA 50,EMA 100,EMA 200,Basis,Upper,Lower,24H Volume,ADR,Bollinger Bands Width,EMA,%EX,hashColor,FEAR AND GREED,US Interest Rates,EU Interest Rates,UK Interest Rates,Histogram,MACD,Signal,RSI,RSI-based MA,STOCHASTIC OSCILLATOR,STOCHASTIC OSCILLATOR 2
1316563200,5.11348606824875,5.79,5.11348606824875,5.7025,7.421875,NaN,NaN,NaN,NaN,NaN,NaN,22,7.55707007882518,NaN,NaN,NaN,7.421875,12.022850406096,2.82089959390402,NaN,0.809507277522769,1.23984179364271,27.2305118057006,27.4285820650453,NaN,NaN,0.25,1.5,0.5,NaN,NaN,NaN,32.0772051229307,NaN,22.0660146699266,11.529024095861
1316649600,5.40799303412437,5.72,5.40799303412437,5.7,7.121875,NaN,NaN,NaN,NaN,NaN,NaN,23,7.38020626179421,NaN,NaN,NaN,7.121875,11.3339379966205,2.90981200337946,NaN,0.768936346513886,1.1828522675898,33.8427027202276,53.6792754638086,NaN,NaN,0.25,1.5,0.5,NaN,NaN,NaN,32.0653869674158,NaN,22.0048899755501,18.295303258454
1316736000,5.55399651706219,5.72,5.55399651706219,5.71,6.822375,NaN,NaN,NaN,NaN,NaN,NaN,24,7.22113899876619,NaN,NaN,NaN,6.822375,10.5087697411394,3.13598025886062,NaN,0.747860562929088,1.08067784052896,25.3820270401707,0,NaN,NaN,0.25,1.5,0.5,NaN,NaN,NaN,32.1730335501723,NaN,23.5783805804263,22.5497617419677
1316822400,5.63199825853109,5.76,5.63199825853109,5.705,6.557625,NaN,NaN,NaN,NaN,NaN,NaN,25,7.07674480840751,NaN,NaN,NaN,6.557625,9.73068837590349,3.38456162409651,NaN,0.709898703502759,0.96774773668927,22.1911921035617,12.6186872937347,NaN,NaN,0.25,1.5,0.5,NaN,-1.70712911610047,NaN,32.1456060991514,NaN,24.4594594594595,23.347576671812
1316908800,5.66849912926555,6.05,5.66849912926555,6.05,6.360125,NaN,NaN,NaN,NaN,NaN,NaN,26,6.97895958855917,NaN,NaN,NaN,6.360125,9.11581977400891,3.60443022599109,NaN,0.7249869004637,0.866553652328818,28.4909753287249,47.3903250042144,NaN,NaN,0.25,1.5,0.5,NaN,-1.5748521843664,NaN,36.1879206682578,NaN,34.5794193696753,27.5390864698537
1316995200,5.85924956463277,6.06,4.8,5.43,6.231625,NaN,NaN,NaN,NaN,NaN,NaN,27,6.83143962774401,NaN,NaN,NaN,6.231625,8.90800187695512,3.55524812304488,NaN,0.742496404509462,0.858965960549656,21.3682314965437,0,9.4251223054606,NaN,0.25,1.5,0.5,NaN,-1.5027280676589,NaN,32.4469578346276,28.2619688460321,19.3701118096858,26.1363302129402
1317081600,5.64462478231639,5.64462478231639,4.85,4.885,6.103625,NaN,NaN,NaN,NaN,NaN,NaN,28,6.64606442510173,NaN,NaN,NaN,6.103625,8.78050400128117,3.42674599871883,NaN,0.627652926697796,0.877143992719464,22.2729964026319,24.9872911208967,16.4631080146949,NaN,0.25,1.5,0.5,NaN,-1.47257124610563,NaN,29.554707223202,28.5118762336274,3.94666571446101,19.2987322979407
1317168000,5.26481239115819,5.26481239115819,4.82,4.8625,5.92325,NaN,NaN,NaN,NaN,NaN,NaN,29,6.47620114652061,NaN,NaN,NaN,5.92325,8.41797899329769,3.42852100670231,NaN,0.557016902077678,0.842351409546344,23.1274596874113,25.6908495417494,17.5332822983238,NaN,0.25,1.5,0.5,NaN,-1.43395753980486,NaN,29.4380419623629,28.8029882775428,4.24994181750801,9.18890644721826
1317254400,5.0636561955791,5.0636561955791,4.81,4.815,5.7195,NaN,NaN,NaN,NaN,NaN,NaN,30,6.31799151351865,NaN,NaN,NaN,5.7195,7.85091713420909,3.58808286579091,NaN,0.484377461196192,0.745315896217882,17.3455947655585,0,22.3669268933886,0.130533873044763,0.25,1.5,0.5,NaN,-1.39115241333211,NaN,29.1761999103453,29.1613812059506,1.19047619047617,3.12902790748173
1317600000,4.93932809778955,4.93932809778955,4.83,4.855,5.56225,NaN,NaN,NaN,NaN,NaN,NaN,31,6.17865898842163,NaN,NaN,NaN,5.56225,7.44728706860106,3.67721293139894,NaN,0.428147026469735,0.677796599793631,18.5892768151446,22.3203229639029,24.1597290376897,0.0756677670624967,0.25,1.5,0.5,NaN,-1.3385711613853,NaN,29.7429239203255,29.6131179508592,4.36507936507934,3.26849912435451
