;open;high;low;close;Regression Line;Bar Index;Basis;Upper;Lower;ADR;Bollinger Bands Width;btc exchange trade vol/ on chain transactin vol;btc sopr momentum onchain;FEAR AND GREED;US Interest Rates;EU Interest Rates;UK Interest Rates;Histogram;MACD;Signal;RSI;RSI-based MA;STOCHASTIC OSCILLATOR;STOCHASTIC OSCILLATOR 2;SOPR;SOPR Smoothing;Upper Bollinger Band;Lower Bollinger Band;btc active adresses;btc new adresses;btc hashrate;btc totalvolume;month;dayInMonth;weekday;timeToNextHalving;Decision Variable D;Decision Variable D enhanced;Decision Variable M enhanced;Decision Variable W;Decision Variable M;EMA_Closest_TOP;EMA_Closest_BOTTOM;SMA_Closest_TOP;SMA_Closest_BOTTOM;BB_Closest;NASDAQ_DLY_NDX_1D_OPEN_ONE_DAY_TREND;NASDAQ_DLY_NDX_1D_OPEN_ONE_MONTH_TREND;OANDA_XAUUSD_1D_OPEN_ONE_DAY_TREND;OANDA_XAUUSD_1D_OPEN_ONE_MONTH_TREND;SP_SPX_1D_OPEN_ONE_DAY_TREND;SP_SPX_1D_OPEN_ONE_MONTH_TREND;TVC_DXY_1D_OPEN_ONE_DAY_TREND;TVC_DXY_1D_OPEN_ONE_MONTH_TREND
Test Statistic;-1.4044778529883928;-1.4638558623256335;-1.3971005094091535;-1.415598120162983;-2.1037856025632387;0.807685043477363;-1.62005652373511;-1.7710268395124025;-1.471802163561066;-1.8414151848556133;-6.383572355874525;-2.9393193025548188;-8.588375345901671;-15.147741427553298;-1.3374743406221081;-3.90909073341581;-1.3621642934634666;-11.646722644655904;-6.797683604482985;-6.75661339292568;-9.79379230839391;-6.445754930551561;-10.266766598336938;-7.449386259585293;-5.427647817626238;-4.73053147549827;-4.229244317039263;-5.219182388126228;-1.3156853880551393;-1.688773848248919;2.668150112873931;-5.330175460911009;-5.349424780814053;-8.666168279815903;-383560599300289.25;-3.028876349583343;-12.247083235312898;-7.201549290056035;-8.115013597051018;-13.145762394742123;-9.436424716279255;-10.746706892557098;-12.202099576163599;-11.684436877219232;-9.95334845031194;-14.846850386621675;-15.736395959679767;-8.48794878726862;-142.8218137433945;-7.550187151643625;-17.013364407165188;-7.668108873044494;-300.5868809181704;-8.757930645768875
P-value;0.5801275067145387;0.5513095913878855;0.5836653786491367;0.5747757618592533;0.24299511889476727;0.9917592116957554;0.4726996648028773;0.39493794420142136;0.5474114493563306;0.36010256275855923;2.1919739915353758e-08;0.04096304026628365;7.400319188240815e-14;6.866363544084392e-28;0.61185822516602;0.001968953649480238;0.6002746996282246;2.083662556101729e-21;2.2788083860273087e-09;2.861080215102941e-09;6.251847345673626e-17;1.567449039107712e-08;4.09981070664187e-18;5.723876292747167e-11;2.962533424793198e-06;7.371437835857527e-05;0.0005876901498370917;8.032933842335104e-06;0.6219660280296735;0.43690561207217954;0.9990846722754974;4.740202829088035e-06;4.322152262210581e-06;4.678160718387501e-14;0.0;0.032284302161642256;9.728233243256245e-23;2.358309584696432e-10;1.1974635738092756e-12;1.3993982028029763e-24;5.028156076174053e-16;2.7300905267015407e-19;1.2166321672691504e-22;1.710506270690986e-21;2.481074594405749e-17;1.8018548537502266e-27;1.2712418157464535e-28;1.337391139043335e-13;0.0;3.204088880936322e-11;8.559518822597236e-30;1.620694553466246e-11;0.0;2.7232344574269202e-14
Number of lags;29;27;30;29;30;30;29;30;30;30;28;29;29;30;12;0;8;30;30;30;0;29;14;30;27;29;23;21;30;30;30;29;0;30;5;0;15;25;4;10;5;16;8;8;14;2;14;30;0;30;12;30;0;30
Number of observations;3692;3694;3691;3692;3691;3691;3692;3691;3691;3691;3693;3692;3692;3691;3709;3721;3713;3691;3691;3691;3721;3692;3707;3691;3694;3692;3698;3700;3691;3691;3691;3692;3721;3691;3716;3721;3706;3696;3717;3711;3716;3705;3713;3713;3707;3719;3707;3691;3721;3691;3709;3691;3721;3691
Reject (signif. level 0.05);False;False;False;False;False;False;False;False;False;False;True;True;True;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
Critical value 1% ;-3.4321224410657236;-3.4321214807652236;-3.432122921606506;-3.4321224410657236;-3.432122921606506;-3.432122921606506;-3.4321224410657236;-3.432122921606506;-3.432122921606506;-3.432122921606506;-3.432121960785367;-3.4321224410657236;-3.4321224410657236;-3.432122921606506;-3.432114311545516;-3.4321086178150693;-3.4321124095433113;-3.432122921606506;-3.432122921606506;-3.432122921606506;-3.4321086178150693;-3.4321224410657236;-3.432115264086939;-3.432122921606506;-3.4321214807652236;-3.4321224410657236;-3.432119563282565;-3.4321186060970326;-3.432122921606506;-3.432122921606506;-3.432122921606506;-3.4321224410657236;-3.4321086178150693;-3.432122921606506;-3.4321109857306853;-3.4321086178150693;-3.432115740743458;-3.432120521504734;-3.432110511637569;-3.4321133600315274;-3.4321109857306853;-3.4321162176574607;-3.4321124095433113;-3.4321124095433113;-3.432115264086939;-3.432109564216738;-3.432115264086939;-3.432122921606506;-3.4321086178150693;-3.432122921606506;-3.432114311545516;-3.432122921606506;-3.4321086178150693;-3.432122921606506
Critical value 5%;-2.8623231662354693;-2.8623227420458233;-2.862323378502749;-2.8623231662354693;-2.862323378502749;-2.862323378502749;-2.8623231662354693;-2.862323378502749;-2.862323378502749;-2.862323378502749;-2.862322954083192;-2.8623231662354693;-2.8623231662354693;-2.862323378502749;-2.862319575211155;-2.8623170601338375;-2.86231873504501;-2.862323378502749;-2.862323378502749;-2.862323378502749;-2.8623170601338375;-2.8623231662354693;-2.862319995974427;-2.862323378502749;-2.8623227420458233;-2.8623231662354693;-2.862321895043575;-2.862321472229483;-2.862323378502749;-2.862323378502749;-2.862323378502749;-2.8623231662354693;-2.8623170601338375;-2.862323378502749;-2.8623181061078666;-2.8623170601338375;-2.862320206526435;-2.8623223183154405;-2.8623178966878493;-2.8623191549015936;-2.8623181061078666;-2.862320417192146;-2.86231873504501;-2.86231873504501;-2.862319995974427;-2.8623174781858136;-2.862319995974427;-2.862323378502749;-2.8623170601338375;-2.862323378502749;-2.862319575211155;-2.862323378502749;-2.8623170601338375;-2.862323378502749
Critical value 10% ;-2.5671868908001723;-2.5671866649762607;-2.567187003803947;-2.5671868908001723;-2.567187003803947;-2.567187003803947;-2.5671868908001723;-2.567187003803947;-2.567187003803947;-2.567187003803947;-2.5671867778576267;-2.5671868908001723;-2.5671868908001723;-2.567187003803947;-2.567184979063627;-2.5671836401248576;-2.5671845317886093;-2.567187003803947;-2.567187003803947;-2.567187003803947;-2.5671836401248576;-2.5671868908001723;-2.567185203063285;-2.567187003803947;-2.5671866649762607;-2.5671868908001723;-2.5671862140615964;-2.567185988970051;-2.567187003803947;-2.567187003803947;-2.567187003803947;-2.5671868908001723;-2.5671836401248576;-2.567187003803947;-2.5671841969645706;-2.5671836401248576;-2.567185315153822;-2.5671864393968677;-2.5671840854767223;-2.5671847553055325;-2.5671841969645706;-2.5671854273048966;-2.5671845317886093;-2.5671845317886093;-2.567185203063285;-2.567183862680981;-2.567185203063285;-2.567187003803947;-2.5671836401248576;-2.567187003803947;-2.567184979063627;-2.567187003803947;-2.5671836401248576;-2.567187003803947
