time,eth open,eth high,eth low,eth close,eth active adresses,eth sending adresses,eth receiving adresses,eth new adresses,eth blocks,eth blocksminted,eth meanblocksize,eth totalblocksize,eth difficulty,eth hashrate,eth totalvolume,eth totalvolume usd,eth totaltxfees,eth meantxfees,eth mediantxfees,eth totaltxfeeusd,eth totalgasused,eth meangasused,eth mediangasused,eth meantxgasprice
1438905600,2.83162,3.52499,2.59042,2.78972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1438992000,2.78972,2.79795,0.732233,0.804941,188.5,136,104.5,1064.1,32116.9,5586.9,601.887560215,3366026.5,1161424410197.1,67423967135.0262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439078400,0.804941,0.87981,0.631633,0.748064,287.136363636364,194.363636363636,174.409090909091,916.627272727273,37366.9181818182,5502.55454545455,604.871288819546,3329938.22727273,1266874420457.81,73600867787.2173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439164800,0.748064,0.748064,0.650267,0.704063,416.202479338843,305.206611570248,278.880165289256,867.967768595041,42617.8421487603,5457.54462809917,609.655801483265,3327564.54958678,1390733997598.93,80517632117.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439251200,0.704063,1.11791,0.670157,1.05199,765.802028549962,634.987227648385,611.0837716003,1053.60999248685,47874.0526671676,5425.2637866266,624.630022149944,3386886.26784373,1532763720561.86,88437281574.7165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439337600,1.05199,1.28021,0.93891,1.25885,790.928932449969,622.26227716686,622.341267672973,918.771812034697,53106.2249095007,5370.48855269449,629.865731699045,3379844.58278123,1662849880993.52,96156502621.6253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439424000,1.25885,1.93963,1.18044,1.85099,878.578217459066,665.12368131834,689.006491732433,848.086028028389,58348.1840168642,5355.12699765913,636.3851050774,3405147.02227555,1800499325906.15,104645600797.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439510400,1.85099,2.22679,1.83042,1.83042,1008.29126883014,743.828466533187,776.823493235627,791.343113841409,63693.2414683435,5437.6493617211,640.6335260106,3482846.83640727,2050803735990.12,117833699939.634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439596800,1.83042,1.87724,1.59183,1.69197,1062.9655835883,762.223290799881,826.491949010967,713.826184052062,69045.0157468265,5427.53129595363,640.215646986855,3474241.95706049,2339159042840.28,134640966114.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1439683200,1.69197,1.69197,1.12694,1.48124,1088.24456839043,759.637237927175,853.675231008973,634.039605133505,74356.8310655853,5373.79833305297,640.295300485608,3440349.78304949,2620054419096.41,149247724013.099,3108412.08233779,NaN,24.937875288,0.010593431,0.001231458,NaN,105666476.9,39336.884692503,21000,307470896150.855
