time,open,high,low,close,EMA20,EMA50,EMA100,EMA200,SMA20,SMA50,SMA100,SMA2000
1292423400,1241.58,1244.25,1234.01,1235.23,1218.27588749956,1194.64379730131,1167.95504365437,1139.29230996515,1211.389,1197.0808,1152.0509,1140.405
1292509800,1236.34,1243.75,1232.85,1242.87,1220.61818392818,1196.53502093655,1169.43850813646,1140.32293374659,1214.603,1198.7388,1153.3412,1141.0045
1292596200,1243.63,1245.81,1239.87,1243.91,1222.83645212549,1198.39286325277,1170.91319114366,1141.35365082374,1216.964,1200.4558,1154.719,1141.5306
1292855400,1245.76,1250.2,1241.51,1247.08,1225.14536144687,1200.30216273305,1172.42144478438,1142.40565429813,1219.3315,1202.0944,1156.1745,1142.0735
1292941800,1249.43,1255.82,1249.43,1254.6,1227.9505651186,1202.4314896847,1174.04874290746,1143.5220159469,1222.1695,1203.88,1157.7045,1142.6443
1293028200,1254.94,1259.39,1254.94,1258.84,1230.89241605969,1204.64358812843,1175.72777770137,1144.6694585743,1226.075,1205.6614,1159.0343,1143.21045
1293114600,1257.53,1258.59,1254.05,1256.77,1233.35694786353,1206.687761143,1177.33257418253,1145.78488684719,1228.996,1207.2348,1160.3974,1143.7431
1293460200,1254.66,1258.43,1251.48,1257.54,1235.66009568605,1208.68196658838,1178.9208400403,1146.89687802284,1232.403,1208.9094,1161.7004,1144.28085
1293546600,1259.1,1259.9,1256.22,1258.51,1237.83627704928,1210.63600711432,1180.4968630098,1148.00745635097,1235.9405,1210.5558,1163.0274,1144.82085
1293633000,1258.78,1262.6,1258.78,1259.78,1239.92615542554,1212.5632225216,1182.06682611852,1149.11962096439,1239.902,1212.0572,1164.4088,1145.32245
1293719400,1259.44,1261.09,1256.32,1257.88,1241.63604538501,1214.34035105017,1183.56807708647,1150.20181379062,1242.4925,1213.8968,1165.7097,1145.7808
1293805800,1256.76,1259.34,1254.19,1257.64,1243.16023153882,1216.03837649918,1185.03484783723,1151.27085046932,1244.298,1215.4862,1167.0755,1146.2399
1294065000,1257.62,1276.17,1257.62,1271.89,1245.89639996369,1218.22863624431,1186.75475184046,1152.47104101191,1246.657,1217.3188,1168.8997,1146.79985
1294151400,1272.95,1274.12,1262.66,1270.2,1248.21102853858,1220.26672894061,1188.40713299213,1153.64247343966,1249.011,1219.0612,1170.7656,1147.3218
1294237800,1268.78,1277.63,1265.36,1276.56,1250.91093058253,1222.47430819784,1190.15273431902,1154.86553340543,1251.6515,1220.88,1172.7387,1147.83375
