time,open,high,low,close,EMA20,EMA50,EMA100,EMA200,SMA20,SMA50,SMA100,SMA2000
1296052200,2306.98999,2321.21997,2300.11011,2314.18994,2280.74634263149,2226.13707530431,2145.67289030634,2038.01124394312,2280.8794795,2220.6474074,2131.7328053,2002.5813279
1296138600,2322.33008,2336.04004,2319.22998,2330.07007,2285.44384047611,2230.21287901786,2149.32431960721,2040.91730191384,2285.8009885,2224.6192092,2136.3304054,2004.08757915
1296225000,2330.07007,2330.07007,2260.6001,2270.51001,2284.02157090695,2231.79315866422,2151.72403624865,2043.20180647191,2288.0404905,2228.1568118,2140.4705055,2005.24692975
1296484200,2274.21997,2287.5,2258.05005,2281.90991,2283.82046034439,2233.7585214617,2154.30197434274,2045.57701148214,2291.2429805,2231.79501,2144.4896046,2006.5922801
1296570600,2298.37012,2329.34009,2296.73999,2324.94995,2287.7375545973,2237.33465591418,2157.68114217753,2048.35684171615,2294.778979,2235.5986086,2148.8777052,2008.1493809
1296657000,2317.88989,2328.80005,2316.21997,2321.09009,2290.91398654042,2240.61918274108,2160.91696292649,2051.07060538067,2298.2604855,2239.31501,2153.1652052,2009.6368321
1296743400,2316.66992,2327.23999,2297.79004,2323.07007,2293.97647067942,2243.85255086888,2164.12791554181,2053.77706771519,2300.893994,2242.7592092,2157.1792067,2011.0795335
1296829800,2324.17993,2338.65991,2318.27002,2338.19995,2298.18823061472,2247.55244887402,2167.57488652118,2056.60714614588,2303.928491,2247.191006,2161.2753053,2012.5447337
1297089000,2340.43994,2360.82007,2338.87012,2349.19995,2303.04648960379,2251.53862538877,2171.17142243165,2059.51851732851,2307.553491,2250.9646046,2165.3713038,2014.0140843
1297175400,2348.53003,2363.76001,2344.86011,2363.61011,2308.81445345105,2255.9335855696,2174.98208951221,2062.54430432027,2311.5150025,2255.1586086,2169.5263038,2015.58668565
1297261800,2359.81006,2367.18994,2352.45996,2360.94995,2313.77973883666,2260.05187437079,2178.66462140306,2065.51351472504,2315.126001,2259.4864064,2173.5775025,2017.3601854
1297348200,2343.79004,2366.28003,2341.81006,2364.3501,2318.59596370936,2264.14200086605,2182.3415615733,2068.48701308598,2318.099512,2264.4268068,2177.3267042,2019.1439867
1297434600,2357.77002,2381.3999,2353.28003,2379.1499,2324.36300526085,2268.65211455758,2186.23875639363,2071.5781860901,2321.7805055,2268.7532032,2181.2271021,2020.82528675
1297693800,2379.52002,2388.62988,2377.08008,2385.6001,2330.19510952172,2273.23831006513,2190.18650577197,2074.70278224841,2324.889014,2272.7592042,2185.255503,2022.75013785
1297780200,2380.15991,2384.81006,2371.18994,2381.91992,2335.12128194823,2277.50033398414,2193.98320704381,2077.75966919121,2327.545508,2276.5742042,2189.2532032,2024.5017382
1297866600,2389.51001,2403.52002,2387.65991,2397.93994,2341.10401128649,2282.22345578869,2198.02195423106,2080.94554253259,2332.2765015,2280.7368018,2192.9942017,2026.64658805
1297953000,2384.68994,2400.88989,2381.8501,2397.57007,2346.48173116397,2286.74685242442,2201.97340206807,2084.09603534321,2337.851001,2284.9012012,2196.8600025,2028.84313955
1298039400,2396.75,2400.46997,2382.38989,2392.46997,2350.86156343407,2290.89285703523,2205.74561133405,2087.16443270298,2344.058496,2288.7385986,2200.6604029,2031.3367394
1298385000,2353.81006,2366.42993,2318.3999,2322.86011,2348.19475834511,2292.14647479855,2208.06471031754,2089.50966332285,2345.182007,2291.1643994,2203.7982032,2033.70384025
1298471400,2321.43994,2329.12988,2284.6499,2300.93994,2343.6942994551,2292.49131657116,2209.9038237766,2091.61344717039,2345.0275025,2292.8763964,2206.8272022,2035.49549065
1298557800,2306.93994,2321.19995,2285.43994,2313.31006,2340.80056236413,2293.3077378821,2211.95147201864,2093.81938361645,2344.9835085,2294.9935986,2209.9943018,2037.35964105
1298644200,2326.12988,2349.51001,2325.70996,2346.29004,2341.32336975803,2295.38547522005,2214.61164168164,2096.33152945112,2345.794507,2297.6675976,2213.7039014,2039.2131921
1298903400,2354.87012,2362.79004,2338.20996,2350.98999,2342.24400025726,2297.56604442711,2217.31220303448,2098.86544448145,2349.818506,2300.6383984,2216.9675025,2041.24054315
1298989800,2359.78003,2360.63989,2308.05005,2315.26001,2339.67409642324,2298.25992542997,2219.25176356845,2101.01862423786,2351.486011,2302.5831982,2220.0549024,2043.28134395
1299076200,2314.28003,2340.80005,2311.98999,2326.77002,2338.44513676388,2299.37796835428,2221.38083795323,2103.26490678275,2351.5770145,2304.7527978,2223.2063038,2045.3379443
